telomere_length,age,cigarette_smoking,alcohol_drinking,physical_activity_cohort,bmi,bp_category,hr,rr,cardiovascular_disease_diagnosis,sex_Female,sex_Male,rural_or_urban_Rural,rural_or_urban_Urban
-7.756031474607276e-06,-0.00010989242761512096,-2.491976081893481e-06,3.0889074623817876e-05,2.1756973900000418e-06,6.159057114180825e-06,7.413846540799692e-06,-1.5586386902360238e-06,-6.180713321684405e-06,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,1.986747281372757e-05,1.9867472814337105e-05
7.241507472768104e-06,-9.021959775204883e-05,1.3585288962580592e-05,-7.722268655954469e-06,3.325708867571494e-05,2.7566456921347652e-06,7.413846540799692e-06,-3.988587650514902e-06,7.1111432840885085e-06,-1.226878496981573e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
-6.400832172133597e-06,-7.841589983420553e-05,1.3585288962580592e-05,3.0889074623817876e-05,3.325708867571494e-05,6.071815795666826e-06,7.413846540799692e-06,-3.988587650514902e-06,-6.180713321684405e-06,-1.226878496981573e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
9.545346286973357e-06,-2.3331976217603558e-05,-2.491976081893481e-06,-7.722268655954469e-06,3.325708867571494e-05,4.041889560905911e-07,7.413846540799692e-06,-1.700964272195215e-07,4.652149812020521e-07,3.003737009851437e-05,1.9114811472308603e-05,1.9114811472726335e-05,-0.00014569480063400232,-0.00014569480063847203
-1.7920026243159868e-05,-9.415416372466324e-05,-2.491976081893481e-06,-7.722268655954469e-06,3.325708867571494e-05,2.4076804180787603e-06,4.111314899898014e-05,2.2598525330593573e-06,4.652149812020521e-07,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,1.986747281372757e-05,1.9867472814337105e-05
-1.898159903009758e-05,8.2901305042986e-05,-2.491976081893481e-06,-7.722268655954469e-06,2.1756973900000418e-06,8.902223382602854e-08,-5.9984758375561196e-05,-1.9057742559901492e-06,-6.180713321684405e-06,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,1.986747281372757e-05,1.9867472814337105e-05
5.514780281521265e-05,5.5359343234685e-05,5.546656440343556e-06,3.0889074623817876e-05,2.1756973900000418e-06,1.5680974148188136e-06,-5.9984758375561196e-05,4.34266592758411e-06,-1.2826641624570862e-05,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,1.986747281372757e-05,1.9867472814337105e-05
-5.316672730154655e-06,-1.54628442723747e-05,-2.491976081893481e-06,3.0889074623817876e-05,2.1756973900000418e-06,-3.873694514929355e-06,7.413846540799692e-06,-1.2115031244818983e-06,2.0402999889861425e-05,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,-0.00014569480063400232,-0.00014569480063847203
-5.2489127650309695e-06,-5.087393802590455e-05,-2.491976081893481e-06,3.0889074623817876e-05,2.1756973900000418e-06,-3.3568085468586945e-06,4.111314899898014e-05,-2.6000453874984e-06,4.652149812020521e-07,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,1.986747281372757e-05,1.9867472814337105e-05
1.374646412464176e-05,8.2901305042986e-05,-2.491976081893481e-06,-4.6333611935726814e-05,2.1756973900000418e-06,4.986457161625373e-07,4.111314899898014e-05,-1.1972705662859789e-05,7.1111432840885085e-06,-1.226878496981573e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
-5.70064586585553e-06,3.175194739899843e-05,-2.491976081893481e-06,3.0889074623817876e-05,3.325708867571494e-05,-1.7799028705933158e-06,4.111314899898014e-05,-6.765672176547906e-06,1.3757071586974967e-05,-1.226878496981573e-05,-2.155500017090119e-05,-2.1555000171372247e-05,1.986747281372757e-05,1.9867472814337105e-05
-7.756031474607276e-06,-4.3004806080675695e-05,-2.491976081893481e-06,-7.722268655954469e-06,3.325708867571494e-05,3.8035415143027826e-06,7.413846540799692e-06,-5.377129913531404e-06,4.652149812020521e-07,-1.226878496981573e-05,1.9114811472308603e-05,1.9114811472726335e-05,1.986747281372757e-05,1.9867472814337105e-05
